country,educ,homicide,dwellings,labour_insec
Australia,0.8,1.0,1.1,0.043
Austria,0.85,0.4,1.0,0.027000000000000003
Belgium,0.75,1.0,2.3,0.048
Canada,0.91,1.4,0.2,0.039
Chile,0.65,4.5,9.4,0.081
Czechia,0.93,0.8,0.6,0.018000000000000002
Denmark,0.81,0.7,0.6,0.023
Estonia,0.89,3.1,6.9,0.04
Finland,0.88,1.4,0.5,0.027000000000000003
France,0.78,0.6,0.5,0.05
Germany,0.86,0.4,0.1,0.02
Greece,0.72,1.0,0.5,0.174
Hungary,0.83,1.2,4.3,0.048
Iceland,0.78,0.9,0.0,0.026000000000000002
Ireland,0.8,0.6,0.1,0.021
Israel,0.87,1.7,4.4,0.026000000000000002
Italy,0.6,0.8,0.6,0.081
Japan,0.94,0.3,6.4,0.015
Korea,0.87,1.1,4.2,0.024
Latvia,0.89,6.6,12.9,0.068
Luxembourg,0.79,0.6,0.0,0.032
Mexico,0.37,17.9,4.2,0.046
Netherlands,0.77,0.6,0.0,0.021
New Zealand,0.77,1.3,0.3,0.049
Norway,0.82,0.6,0.0,0.027000000000000003
Poland,0.91,0.8,2.7,0.043
Portugal,0.47,1.0,1.0,0.065
Slovak Republic,0.92,0.8,1.4,0.067
Slovenia,0.87,0.6,0.3,0.04
Spain,0.58,0.6,0.1,0.17300000000000001
Sweden,0.83,1.0,0.0,0.057
Switzerland,0.87,0.5,0.0,0.018000000000000002
Türkiye,0.39,1.7,6.5,0.13
United Kingdom,0.81,0.2,0.4,0.026000000000000002
United States,0.9,4.9,0.1,0.038
Brazil,0.49,27.6,6.7,0.049
Russia,0.95,11.3,13.8,0.036000000000000004
South Africa,0.43,10.0,37.0,0.265
